"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"Nov 18","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"Oct 18","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"Sep 18","73.25","69.89","73.73","66.86","10.09M","4.94%"
"Aug 18","69.80","68.43","70.50","64.43","10.42M","1.51%"
"Jul 18","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"Jun 18","74.15","67.07","74.46","63.59","12.86M","10.61%"
"May 18","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"Apr 18","68.57","64.91","69.56","61.81","12.71M","5.59%"
"Mar 18","64.94","61.55","66.55","59.95","12.38M","5.35%"
"Feb 18","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"Jan 18","64.73","60.20","66.66","60.10","12.77M","7.13%"
"Dec 17","60.42","57.42","60.51","55.82","9.49M","5.26%"
"Nov 17","57.40","54.65","59.05","53.89","12.53M","5.55%"
"Oct 17","54.38","51.64","54.85","49.10","11.95M","5.24%"
"Sep 17","51.67","47.08","52.86","46.56","12.24M","9.40%"
"Aug 17","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"Jul 17","50.17","46.28","50.41","43.65","14.57M","8.97%"
"Jun 17","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"May 17","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"Apr 17","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"Mar 17","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"Feb 17","54.01","52.76","54.94","51.22","9.09M","2.27%"
"Jan 17","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"Dec 16","53.72","49.07","54.51","48.98","10.64M","8.66%"
"Nov 16","49.44","46.77","49.90","42.20","13.50M","5.51%"
"Oct 16","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"Sep 16","48.24","44.85","48.32","42.55","12.37M","7.92%"
"Aug 16","44.70","41.35","48.75","39.19","11.59M","7.45%"
"Jul 16","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"Jun 16","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"May 16","49.10","45.90","50.21","43.03","11.20M","6.93%"
"Apr 16","45.92","38.14","46.78","35.24","11.62M","19.77%"
"Mar 16","38.34","33.90","41.90","33.37","10.88M","13.60%"
"Feb 16","33.75","33.83","34.69","26.05","11.47M","0.39%"
"Jan 16","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"Dec 15","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"Nov 15","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"Oct 15","46.59","45.38","50.92","42.58","8.31M","3.33%"
"Sep 15","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"Aug 15","49.20","46.86","49.33","37.75","8.24M","4.41%"
"Jul 15","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"Jun 15","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"May 15","60.30","59.79","62.58","56.51","6.34M","1.12%"
"Apr 15","59.63","47.55","59.85","47.05","7.63M","25.27%"
"Mar 15","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"Feb 15","49.76","47.59","54.24","46.67","8.46M","3.15%"
"Jan 15","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"Dec 14","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"Nov 14","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"Oct 14","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"Sep 14","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"Aug 14","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"Jul 14","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"Jun 14","105.37","102.92","107.73","101.60","4.12M","2.59%"
"May 14","102.71","99.72","104.50","98.74","4.38M","2.98%"
"Apr 14","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"Mar 14","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"Feb 14","102.59","97.40","103.80","96.26","3.93M","5.23%"
"Jan 14","97.49","98.50","98.97","91.24","4.49M","-0.94%"
